company_name,company_tier,source_name,source_url,source_type,source_bucket,source_domain,official_domain,official_domain_confidence,source_quality_score,is_official_hint,structure_hint,discovery_method,verification_status,failure_count,last_success_at,last_active_job_count,quarantine_reason,is_quarantined
엠투어플주식회사,중견/중소,엠투어플주식회사 공식 채용,https://www.m2appl.kr/careers,html_page,approved,www.m2appl.kr,m2appl.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
웅진,중견/중소,웅진 공개 ATS,https://woongjinit-recruiter.career.greetinghr.com,greetinghr,approved,woongjinit-recruiter.career.greetinghr.com,woongjin.com,0.99,0.85,True,ats,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
웅진씽크빅,중견/중소,웅진씽크빅 공개 ATS,https://thinkbig.career.greetinghr.com,greetinghr,approved,thinkbig.career.greetinghr.com,wjthinkbig.com,0.99,0.85,True,ats,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
웹젠,중견/중소,웹젠 공개 ATS,https://webzen.recruiter.co.kr,recruiter,approved,webzen.recruiter.co.kr,company.webzen.com,0.99,0.85,True,ats,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
이지케어텍,중견/중소,이지케어텍 공개 ATS,https://ezcaretech.career.greetinghr.com,greetinghr,approved,ezcaretech.career.greetinghr.com,ezcaretech.com,0.99,0.85,True,ats,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,1.0,,False
자이언트스텝,중견/중소,자이언트스텝 공개 ATS,https://giantstepcorp.recruiter.co.kr,recruiter,approved,giantstepcorp.recruiter.co.kr,giantstep.co.kr,0.99,0.85,True,ats,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
임팩티브AI,스타트업,임팩티브AI 공개 ATS,https://impactive-ai.career.greetinghr.com,greetinghr,approved,impactive-ai.career.greetinghr.com,impactive-ai.com,0.99,0.85,True,ats,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,2.0,,False
오픈베이스,중견/중소,오픈베이스 공식 채용,https://openbase.co.kr/recruit/list/25,html_page,approved,openbase.co.kr,openbase.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
옵티시스,중견/중소,옵티시스 공식 채용,https://www.opticis.com/recruitment/recruit.php,html_page,approved,www.opticis.com,opticis.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
와이어블,중견/중소,와이어블 공식 채용,https://wiable.co.kr/kr/careers/recruit.php,html_page,approved,wiable.co.kr,wiable.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
